Time (s),Temperature (C),Relative Humidity (%)
766.3705410957336,22.9,99.0
768.401691198349,22.9,99.0
770.4291880130768,22.9,99.0
772.4565019607544,22.9,99.0
774.4839391708374,22.9,99.0
776.5153269767761,22.9,99.0
778.5426800251007,22.9,99.0
780.5700919628143,22.9,99.0
782.6014959812164,22.8,99.0
784.6288900375366,22.8,99.0
786.6563441753387,22.8,99.0
788.6876380443573,22.8,99.0
790.7152471542358,22.8,99.0
792.7425689697266,22.8,99.0
794.7740018367767,22.8,99.0
796.8014290332794,22.8,99.0
798.828763961792,22.8,99.0
800.8562271595001,22.8,99.0
802.8875489234924,22.8,99.0
804.9149119853973,22.8,99.0
806.942409992218,22.7,99.0
808.9737877845764,22.7,99.0
811.0011792182922,22.7,99.0
813.0286819934845,22.7,99.0
815.0600261688232,22.7,99.0
817.0875880718231,22.7,99.0
819.11474609375,22.7,99.0
821.1462662220001,22.7,99.0
823.1736598014832,22.7,99.0
825.201080083847,22.7,99.0
827.2324521541595,22.7,99.0
829.2599501609802,22.7,99.0
831.2873961925507,22.7,99.0
833.3186979293823,22.6,99.0
835.3460268974304,22.6,99.0
837.3734929561615,22.6,99.0
839.4049289226532,22.6,99.0
841.4323189258575,22.6,99.0
843.4637629985809,22.6,99.0
845.4911479949951,22.6,99.0
847.5185751914978,22.6,99.0
849.5498270988464,22.6,99.0
851.5773968696594,22.6,99.0
853.6048130989075,22.6,99.0
855.6362080574036,22.6,99.0
857.6636590957642,22.6,99.0
859.6950840950012,22.5,99.0
861.7225160598755,22.5,99.0
863.7499399185181,22.5,99.0
865.7813560962677,22.5,99.0
867.8086910247803,22.5,99.0
869.8360838890076,22.5,99.0
871.867427110672,22.5,99.0
873.8949649333954,22.5,99.0
875.922357082367,22.5,99.0
877.9537978172302,22.5,99.0
879.9811880588531,22.5,99.0
882.0125949382782,22.5,99.0
884.0400960445404,22.4,99.0
886.0674619674683,22.4,99.0
888.0988631248474,22.4,99.0
890.126275062561,22.4,99.0
892.153645992279,22.4,99.0
894.1850299835205,22.4,99.0
896.2124450206757,22.4,99.0
898.2398860454559,22.4,99.0
900.2712550163269,22.4,99.0
902.2987320423126,22.4,99.0
904.3260757923126,22.4,99.0
906.3575348854065,22.4,99.0
908.3849189281464,22.4,99.0
910.4163048267365,22.4,99.0
912.4437849521637,22.4,99.0
914.4712660312653,22.4,99.0
916.5025651454926,22.4,99.0
918.5300118923187,22.4,99.0
920.5574860572815,22.4,99.0
922.5888178348541,22.3,99.0
